Time,UTC time,Year,Month,Day,Day of week text),Day of year,Hours,Min,Seconds,Time of the day hhminsec,Mins since midnight,Sensor nr,Long (deg),Lat (deg),Altitude (m),Traffic Flow (cars/min)
1662010712,2022-09-01T05:38:32,2022,9,1,Th,244,6,38,32,63832,398,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0
1662011012,2022-09-01T05:43:32,2022,9,1,Th,244,6,43,32,64332,403,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0
1662011312,2022-09-01T05:48:32,2022,9,1,Th,244,6,48,32,64832,408,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0
1662011612,2022-09-01T05:53:32,2022,9,1,Th,244,6,53,32,65332,413,[SCC]1YMD2,-1.48421975,53.38098528,103.438,12
1662011915,2022-09-01T05:58:35,2022,9,1,Th,244,6,58,35,65835,418,[SCC]1YMD2,-1.48421975,53.38098528,103.438,11.2
1662012212,2022-09-01T06:03:32,2022,9,1,Th,244,7,3,32,70332,423,[SCC]1YMD2,-1.48421975,53.38098528,103.438,12.8
1662012512,2022-09-01T06:08:32,2022,9,1,Th,244,7,8,32,70832,428,[SCC]1YMD2,-1.48421975,53.38098528,103.438,15.2
1662012812,2022-09-01T06:13:32,2022,9,1,Th,244,7,13,32,71332,433,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662013112,2022-09-01T06:18:32,2022,9,1,Th,244,7,18,32,71832,438,[SCC]1YMD2,-1.48421975,53.38098528,103.438,20
1662013412,2022-09-01T06:23:32,2022,9,1,Th,244,7,23,32,72332,443,[SCC]1YMD2,-1.48421975,53.38098528,103.438,18.4
1662013712,2022-09-01T06:28:32,2022,9,1,Th,244,7,28,32,72832,448,[SCC]1YMD2,-1.48421975,53.38098528,103.438,17.6
1662014012,2022-09-01T06:33:32,2022,9,1,Th,244,7,33,32,73332,453,[SCC]1YMD2,-1.48421975,53.38098528,103.438,19.2
1662014312,2022-09-01T06:38:32,2022,9,1,Th,244,7,38,32,73832,458,[SCC]1YMD2,-1.48421975,53.38098528,103.438,17.6
1662014612,2022-09-01T06:43:32,2022,9,1,Th,244,7,43,32,74332,463,[SCC]1YMD2,-1.48421975,53.38098528,103.438,20.8
1662014912,2022-09-01T06:48:32,2022,9,1,Th,244,7,48,32,74832,468,[SCC]1YMD2,-1.48421975,53.38098528,103.438,13.6
1662015212,2022-09-01T06:53:32,2022,9,1,Th,244,7,53,32,75332,473,[SCC]1YMD2,-1.48421975,53.38098528,103.438,19.2
1662015513,2022-09-01T06:58:33,2022,9,1,Th,244,7,58,33,75833,478,[SCC]1YMD2,-1.48421975,53.38098528,103.438,20.8
1662015812,2022-09-01T07:03:32,2022,9,1,Th,244,8,3,32,80332,483,[SCC]1YMD2,-1.48421975,53.38098528,103.438,21.6
1662016112,2022-09-01T07:08:32,2022,9,1,Th,244,8,8,32,80832,488,[SCC]1YMD2,-1.48421975,53.38098528,103.438,17.6
1662016412,2022-09-01T07:13:32,2022,9,1,Th,244,8,13,32,81332,493,[SCC]1YMD2,-1.48421975,53.38098528,103.438,17.6
1662016712,2022-09-01T07:18:32,2022,9,1,Th,244,8,18,32,81832,498,[SCC]1YMD2,-1.48421975,53.38098528,103.438,18.4
1662017012,2022-09-01T07:23:32,2022,9,1,Th,244,8,23,32,82332,503,[SCC]1YMD2,-1.48421975,53.38098528,103.438,18.4
1662017312,2022-09-01T07:28:32,2022,9,1,Th,244,8,28,32,82832,508,[SCC]1YMD2,-1.48421975,53.38098528,103.438,20
1662017612,2022-09-01T07:33:32,2022,9,1,Th,244,8,33,32,83332,513,[SCC]1YMD2,-1.48421975,53.38098528,103.438,19.2
1662017912,2022-09-01T07:38:32,2022,9,1,Th,244,8,38,32,83832,518,[SCC]1YMD2,-1.48421975,53.38098528,103.438,18.4
1662018212,2022-09-01T07:43:32,2022,9,1,Th,244,8,43,32,84332,523,[SCC]1YMD2,-1.48421975,53.38098528,103.438,20.8
1662018512,2022-09-01T07:48:32,2022,9,1,Th,244,8,48,32,84832,528,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662018812,2022-09-01T07:53:32,2022,9,1,Th,244,8,53,32,85332,533,[SCC]1YMD2,-1.48421975,53.38098528,103.438,19.2
1662019113,2022-09-01T07:58:33,2022,9,1,Th,244,8,58,33,85833,538,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662019412,2022-09-01T08:03:32,2022,9,1,Th,244,9,3,32,90332,543,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662019712,2022-09-01T08:08:32,2022,9,1,Th,244,9,8,32,90832,548,[SCC]1YMD2,-1.48421975,53.38098528,103.438,17.6
1662020012,2022-09-01T08:13:32,2022,9,1,Th,244,9,13,32,91332,553,[SCC]1YMD2,-1.48421975,53.38098528,103.438,15.2
1662020312,2022-09-01T08:18:32,2022,9,1,Th,244,9,18,32,91832,558,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662020612,2022-09-01T08:23:32,2022,9,1,Th,244,9,23,32,92332,563,[SCC]1YMD2,-1.48421975,53.38098528,103.438,10.4
